Req ID,Category,Requirement,Applies To,Regulatory Reference,Operator Type,Weight Category,Penalty for Non-Compliance,Effective Date
REG-001,Registration,Drone must be registered with Transport Canada if it weighs between 250g and 25kg,All operators with drone 250g to 25kg,CAR 901.01,All,250g to 25kg,"Up to $3,000 for individuals",June 1 2019
REG-002,Pilot Certification,Recreational operators must pass the Transport Canada Basic Operations online exam,Recreational operators,CAR 901.05,Recreational,250g to 25kg,"Up to $3,000 for individuals",June 1 2019
REG-003,Pilot Certification,Commercial operators must pass the Transport Canada Advanced Operations exam and complete a flight review with an accredited organization,Commercial operators,CAR 901.64,Commercial,250g to 25kg,"Up to $5,000 for corporations",June 1 2019
REG-004,Operating Limits,Maximum flight altitude is 122 metres above ground level,All operators,CAR 901.24,All,250g to 25kg,"Up to $25,000",June 1 2019
REG-005,Operating Limits,Drone must remain within visual line of sight of the pilot at all times during Basic Operations,Basic certificate holders,CAR 901.23,Recreational and Basic Commercial,250g to 25kg,"Up to $25,000",June 1 2019
REG-006,Controlled Airspace,Flight in controlled airspace requires authorization via NAV CANADA or the NAS drone app,All operators,CAR 601.01 and CAR 901.26,All,250g to 25kg,"Up to $25,000 and potential criminal charges",June 1 2019
REG-007,Distance Requirements,Recreational operators must stay at least 30 metres horizontally from bystanders not involved in the operation,Recreational operators,CAR 901.22,Recreational,250g to 25kg,"Up to $3,000",June 1 2019
REG-008,Distance Requirements,Advanced operations allow flight closer than 30 metres to bystanders when safety measures are in place and flight review completed,Advanced certificate holders,CAR 901.64,Commercial Advanced,250g to 25kg,"Up to $5,000",June 1 2019
REG-009,No-fly Zones,No flight within 5.6km of a certified aerodrome or airport without authorization,All operators,CAR 601.15,All,250g to 25kg,"Up to $25,000 and potential criminal charges",June 1 2019
REG-010,No-fly Zones,"No flight over or near emergency operations, forest fires, or police operations",All operators,CAR 602.45,All,250g to 25kg,"Up to $25,000",June 1 2019
REG-011,Documentation,Pilot must carry proof of registration and pilot certificate during all flights,All operators,CAR 901.10,All,250g to 25kg,"Up to $1,000",June 1 2019
REG-012,Beyond Visual Line of Sight,Beyond visual line of sight operations require a Special Flight Operations Certificate from Transport Canada,All operators,CAR 901.70,Commercial,250g to 25kg,"Up to $25,000 and potential criminal charges",June 1 2019
REG-013,Night Operations,Night operations require anti-collision lighting visible from at least 1km in all directions,All operators conducting night flights,CAR 901.25,All,250g to 25kg,"Up to $3,000",June 1 2019
REG-014,Insurance,"Commercial operators conducting operations near people must carry third party liability insurance of at least $100,000",Commercial operators,CAR 901.60,Commercial,250g to 25kg,"Up to $5,000",June 1 2019
REG-015,Drug and Alcohol,Pilots must not operate a drone within 12 hours of consuming alcohol or while impaired by any substance,All operators,CAR 901.15,All,250g to 25kg,"Up to $25,000 and potential criminal charges",June 1 2019
